+--------+----------------------------------------+------------------------------------------------------------------------------------------------+---------------------------------------+--------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------+
| Domain | Method                                 | URI                                                                                            | Name                                  | Action                                                                                           | Middleware                                                                                     |
+--------+----------------------------------------+------------------------------------------------------------------------------------------------+---------------------------------------+--------------------------------------------------------------------------------------------------+------------------------------------------------------------------------------------------------+
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:affiliates_manage                                     |
|        | GET|HEAD                               | api/affiliates/getaffiliaterequests                                                            |                                       | Modules\Affiliates\Http\Controllers\AffiliatesApiController@getAffiliateRequests                 | api                                                                                            |
|        |                                        |                                                                                                |                                       |                                                                                                  | Illuminate\Auth\Middleware\Authenticate:api                                                    |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:affiliates                                            |
|        | GET|HEAD                               | api/affiliates/getaffiliates                                                                   |                                       | Modules\Affiliates\Http\Controllers\AffiliatesApiController@getAffiliates                        | api                                                                                            |
|        |                                        |                                                                                                |                                       |                                                                                                  | Illuminate\Auth\Middleware\Authenticate:api                                                    |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:affiliates                                            |
|        | POST                                   | api/affiliates/updateconfigaffiliate/{affiliateId}                                             |                                       | Modules\Affiliates\Http\Controllers\AffiliatesApiController@updateConfigAffiliate                | api                                                                                            |
|        |                                        |                                                                                                |                                       |                                                                                                  | Illuminate\Auth\Middleware\Authenticate:api                                                    |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:affiliates_manage                                     |
|        | PUT|PATCH                              | api/affiliates/{affiliate}                                                                     | api.affiliates.update                 | Modules\Affiliates\Http\Controllers\AffiliatesApiController@update                               | api                                                                                            |
|        |                                        |                                                                                                |                                       |                                                                                                  | Illuminate\Auth\Middleware\Authenticate:api                                                    |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:affiliates_manage                                     |
|        | DELETE                                 | api/affiliates/{affiliate}                                                                     | api.affiliates.destroy                | Modules\Affiliates\Http\Controllers\AffiliatesApiController@destroy                              | api                                                                                            |
|        |                                        |                                                                                                |                                       |                                                                                                  | Illuminate\Auth\Middleware\Authenticate:api                                                    |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:affiliates_manage                                     |
|        | GET|HEAD                               | api/affiliates/{id}                                                                            |                                       | Modules\Affiliates\Http\Controllers\AffiliatesApiController@show                                 | api                                                                                            |
|        |                                        |                                                                                                |                                       |                                                                                                  | Illuminate\Auth\Middleware\Authenticate:api                                                    |
|        | GET|HEAD                               | api/affiliates/{id}/edit                                                                       |                                       | Modules\Affiliates\Http\Controllers\AffiliatesApiController@edit                                 | api                                                                                            |
|        |                                        |                                                                                                |                                       |                                                                                                  | Illuminate\Auth\Middleware\Authenticate:api                                                    |
|        | GET|HEAD                               | api/antifraud                                                                                  | antifraud.index                       | Modules\SalesBlackListAntifraud\Http\Controllers\SalesBlackListAntifraudApiController@index      | api                                                                                            |
|        |                                        |                                                                                                |                                       |                                                                                                  | Illuminate\Auth\Middleware\Authenticate:api                                                    |
|        |                                        |                                                                                                |                                       |                                                                                                  | Laravel\Passport\Http\Middleware\CheckScopes:admin                                             |
|        | GET|HEAD                               | api/antifraud/{antifraud}                                                                      | antifraud.show                        | Modules\SalesBlackListAntifraud\Http\Controllers\SalesBlackListAntifraudApiController@show       | api                                                                                            |
|        |                                        |                                                                                                |                                       |                                                                                                  | Illuminate\Auth\Middleware\Authenticate:api                                                    |
|        |                                        |                                                                                                |                                       |                                                                                                  | Laravel\Passport\Http\Middleware\CheckScopes:admin                                             |
|        | GET|HEAD                               | api/apps                                                                                       | apps.index                            | Modules\Apps\Http\Controllers\AppsApiController@index                                            | api                                                                                            |
|        |                                        |                                                                                                |                                       |                                                                                                  | Illuminate\Auth\Middleware\Authenticate:api                                                    |
|        |                                        |                                                                                                |                                       |                                                                                                  | Laravel\Passport\Http\Middleware\CheckScopes:admin                                             |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:apps                                                  |
|        | GET|HEAD                               | api/apps/activecampaign                                                                        |                                       | Modules\ActiveCampaign\Http\Controllers\ActiveCampaignApiController@index                        | api                                                                                            |
|        |                                        |                                                                                                |                                       |                                                                                                  | Illuminate\Auth\Middleware\Authenticate:api                                                    |
|        |                                        |                                                                                                |                                       |                                                                                                  | Laravel\Passport\Http\Middleware\CheckScopes:admin                                             |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:apps                                                  |
|        | POST                                   | api/apps/activecampaign                                                                        | activecampaign.store                  | Modules\ActiveCampaign\Http\Controllers\ActiveCampaignApiController@store                        | api                                                                                            |
|        |                                        |                                                                                                |                                       |                                                                                                  | Illuminate\Auth\Middleware\Authenticate:api                                                    |
|        |                                        |                                                                                                |                                       |                                                                                                  | Laravel\Passport\Http\Middleware\CheckScopes:admin                                             |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:apps                                                  |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:apps_manage                                           |
|        | GET|HEAD                               | api/apps/activecampaign/create                                                                 | activecampaign.create                 | Modules\ActiveCampaign\Http\Controllers\ActiveCampaignApiController@create                       | api                                                                                            |
|        |                                        |                                                                                                |                                       |                                                                                                  | Illuminate\Auth\Middleware\Authenticate:api                                                    |
|        |                                        |                                                                                                |                                       |                                                                                                  | Laravel\Passport\Http\Middleware\CheckScopes:admin                                             |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:apps                                                  |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:apps_manage                                           |
|        | DELETE                                 | api/apps/activecampaign/{activecampaign}                                                       | activecampaign.destroy                | Modules\ActiveCampaign\Http\Controllers\ActiveCampaignApiController@destroy                      | api                                                                                            |
|        |                                        |                                                                                                |                                       |                                                                                                  | Illuminate\Auth\Middleware\Authenticate:api                                                    |
|        |                                        |                                                                                                |                                       |                                                                                                  | Laravel\Passport\Http\Middleware\CheckScopes:admin                                             |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:apps                                                  |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:apps_manage                                           |
|        | PUT|PATCH                              | api/apps/activecampaign/{activecampaign}                                                       | activecampaign.update                 | Modules\ActiveCampaign\Http\Controllers\ActiveCampaignApiController@update                       | api                                                                                            |
|        |                                        |                                                                                                |                                       |                                                                                                  | Illuminate\Auth\Middleware\Authenticate:api                                                    |
|        |                                        |                                                                                                |                                       |                                                                                                  | Laravel\Passport\Http\Middleware\CheckScopes:admin                                             |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:apps                                                  |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:apps_manage                                           |
|        | GET|HEAD                               | api/apps/activecampaign/{id}                                                                   |                                       | Modules\ActiveCampaign\Http\Controllers\ActiveCampaignApiController@show                         | api                                                                                            |
|        |                                        |                                                                                                |                                       |                                                                                                  | Illuminate\Auth\Middleware\Authenticate:api                                                    |
|        |                                        |                                                                                                |                                       |                                                                                                  | Laravel\Passport\Http\Middleware\CheckScopes:admin                                             |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:apps                                                  |
|        | GET|HEAD                               | api/apps/activecampaign/{id}/edit                                                              |                                       | Modules\ActiveCampaign\Http\Controllers\ActiveCampaignApiController@edit                         | api                                                                                            |
|        |                                        |                                                                                                |                                       |                                                                                                  | Illuminate\Auth\Middleware\Authenticate:api                                                    |
|        |                                        |                                                                                                |                                       |                                                                                                  | Laravel\Passport\Http\Middleware\CheckScopes:admin                                             |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:apps                                                  |
|        | GET|HEAD                               | api/apps/activecampaignevent                                                                   |                                       | Modules\ActiveCampaign\Http\Controllers\ActiveCampaignEventApiController@index                   | api                                                                                            |
|        |                                        |                                                                                                |                                       |                                                                                                  | Illuminate\Auth\Middleware\Authenticate:api                                                    |
|        |                                        |                                                                                                |                                       |                                                                                                  | Laravel\Passport\Http\Middleware\CheckScopes:admin                                             |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:apps                                                  |
|        | POST                                   | api/apps/activecampaignevent                                                                   | activecampaignevent.store             | Modules\ActiveCampaign\Http\Controllers\ActiveCampaignEventApiController@store                   | api                                                                                            |
|        |                                        |                                                                                                |                                       |                                                                                                  | Illuminate\Auth\Middleware\Authenticate:api                                                    |
|        |                                        |                                                                                                |                                       |                                                                                                  | Laravel\Passport\Http\Middleware\CheckScopes:admin                                             |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:apps                                                  |
|        |                                        |                                                                                                |                                       |                                                                                                  | App\Http\Middleware\PermissionMiddleware:apps_manage                                           |
|        | GET|HEAD                               | api/apps/activecampaignevent/create                                                            |                                       | Modules\ActiveCampaign\Http\Controllers\ActiveCampaignEventApiController@create                  | api                                                                                            |
